##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Clearwater, ID	121	0	1	1	8.9	8246
Custer, ID	7	0	2	0	17.1	4022
Elmore, ID	405	1	47	2	14.7	28603
Franklin, ID	114	0	1	0	13.3	12008
Fremont, ID	100	1	17	0	16.5	12321
Gem, ID	109	0	10	1	12.4	16043
Gooding, ID	97	0	19	2	16.1	14159
Idaho, ID	135	0	18	0	12.5	15161
Jefferson, ID	118	0	5	0	14.7	21189
Jerome, ID	412	1	48	5	15.2	19234
Kootenai, ID	3077	5	357	28	7.9	126641
Latah, ID	479	0	23	2	8.9	36984
Lemhi, ID	46	0	5	0	12.9	7704
Lewis, ID	42	0	8	0	9.9	3597
Lincoln, ID	0	2	0	0	17.7	4426
Madison, ID	243	0	12	2	11.1	35173
Minidoka, ID	243	0	17	0	12.5	18650
Nez Perce, ID	1166	1	74	4	6.6	38067
Oneida, ID	14	0	1	0	17.2	4108
Owyhee, ID	52	0	11	1	15.4	10777
Payette, ID	254	0	23	0	10.1	21675
Power, ID	111	0	7	1	14.3	7597
Shoshone, ID	153	0	16	1	7.3	12787
Teton, ID	90	0	7	0	22.8	7478
Twin Falls, ID	1710	4	188	23	10.2	69237
Valley, ID	205	0	12	4	15.8	8123
Washington, ID	41	0	4	0	13.3	9954
##ILLINOIS	109496	511	25184	17489	9.7	12674452
Adams, IL	0	0	0	0	6.6	66750
Alexander, IL	0	0	0	0	4.5	8629
Bond, IL	0	0	0	0	8.9	18120
Boone, IL	0	0	0	0	14.5	49455
Brown, IL	0	0	0	0	7	6681
Bureau, IL	0	0	0	0	12.3	34756
Calhoun, IL	0	0	0	0	15.1	5117
Carroll, IL	0	0	0	0	10.1	16001
Cass, IL	0	0	0	0	13.1	13602
Champaign, IL	0	0	0	0	7.8	187870
Christian, IL	0	0	0	0	7.2	34786
Clark, IL	0	0	0	0	8.4	16827
Clay, IL	0	0	0	0	9.2	13924
Clinton, IL	0	0	0	0	13.5	35987
Coles, IL	0	0	0	0	6.6	52038
Cook, IL	83373	448	22496	15964	9.8	5268513
Crawford, IL	0	0	0	0	8.1	19754
Cumberland, IL	0	0	0	0	15.9	10841
DeKalb, IL	0	0	0	0	11	99485
De Witt, IL	0	0	0	0	8.4	16400
Douglas, IL	0	0	0	0	13.9	19652
DuPage, IL	2557	4	161	67	9.6	922589
Edgar, IL	0	0	0	0	7.7	18946
Edwards, IL	0	0	0	0	12	6647
Effingham, IL	0	0	0	0	9	34384
Fayette, IL	0	0	0	0	7.5	21139
Ford, IL	0	0	0	0	11.3	13975
Franklin, IL	0	0	0	0	6.1	39381
Fulton, IL	0	0	0	0	7.6	37121
Gallatin, IL	0	0	0	0	11.1	6069
Greene, IL	0	0	0	0	9	14102
Grundy, IL	0	0	0	0	11	43443
Hamilton, IL	0	0	0	0	9.5	8277
Hancock, IL	0	0	0	0	10.1	19036
Hardin, IL	0	0	0	0	10.5	4617
Henderson, IL	0	0	0	0	12.9	7780
Henry, IL	0	0	0	0	9	49838
Iroquois, IL	0	0	0	0	11.6	30331
Jackson, IL	0	0	0	0	10.1	59095
Jasper, IL	0	0	0	0	12.6	9787
Jefferson, IL	0	0	0	0	8.3	40097
Jersey, IL	0	0	0	0	9.2	22181
Jo Daviess, IL	0	0	0	0	15.7	22244
Johnson, IL	0	0	0	0	9.6	13486
Kane, IL	2578	10	217	125	10.6	475350
Kankakee, IL	0	0	0	0	7.1	108453
Kendall, IL	76	0	4	3	12.2	79054
Knox, IL	0	0	0	0	7	52729
Lake, IL	0	0	0	0	11.3	691815
LaSalle, IL	0	0	0	0	9.2	111660
Lawrence, IL	0	0	0	0	9.6	16730
Lee, IL	0	0	0	0	9.9	34863
Livingston, IL	0	0	0	0	8.4	38236
Logan, IL	0	0	0	0	6.6	30211
McDonough, IL	0	0	0	0	9	32930
McHenry, IL	0	0	0	0	11.1	301741
McLean, IL	0	0	0	0	6.9	159374
Macon, IL	0	0	0	0	6.8	109582
Macoupin, IL	0	0	0	0	12.3	48416
Madison, IL	0	0	0	0	11.9	264911
Marion, IL	0	0	0	0	5.6	39688
Marshall, IL	0	0	0	0	9.5	12934
Mason, IL	0	0	0	0	7.4	15450
Massac, IL	0	0	0	0	6.7	15211
Menard, IL	0	0	0	0	10.8	12394
Mercer, IL	0	0	0	0	10.3	16554
Monroe, IL	0	0	0	0	10.6	31300
Montgomery, IL	0	0	0	0	7.5	29958
Morgan, IL	0	0	0	0	6.8	35662
Moultrie, IL	0	0	0	0	9.9	14338
Ogle, IL	0	0	0	0	11.7	53935
Peoria, IL	4848	14	783	380	6.4	182105
Perry, IL	0	0	0	0	7	22569
Piatt, IL	0	0	0	0	10.1	16495
Pike, IL	0	0	0	0	9.5	16719
Pope, IL	0	0	0	0	13.2	4107
Pulaski, IL	0	0	0	0	7.9	6663
Putnam, IL	0	0	0	0	16.8	5973
Randolph, IL	0	0	0	0	6.9	33015
Richland, IL	0	0	0	0	8.4	15841
Rock Island, IL	0	0	0	0	8.3	146451
St. Clair, IL	0	0	0	0	7.2	258849
Saline, IL	0	0	0	0	6.2	25961
Sangamon, IL	5288	5	338	258	8.8	192622
Schuyler, IL	0	0	0	0	12.4	7065
Scott, IL	0	0	0	0	13.4	5333
Shelby, IL	0	0	0	0	11.9	22033
Stark, IL	0	0	0	0	14	6094
Stephenson, IL	0	0	0	0	8	47290
Tazewell, IL	0	0	0	0	6.7	129176
Union, IL	0	0	0	0	8.6	18100
Vermilion, IL	0	0	0	0	6.1	81696
Wabash, IL	0	0	0	0	9.3	12412
Warren, IL	0	0	0	0	10	17704
Washington, IL	0	0	0	0	12.1	14820
Wayne, IL	0	0	0	0	8.8	16640
White, IL	0	0	0	0	8.6	14975
Whiteside, IL	0	0	0	0	11.3	59175
Will, IL	4018	11	208	155	10.2	631397
Williamson, IL	0	0	0	0	8.8	63493
Winnebago, IL	6758	19	977	537	9.3	289422
Woodford, IL	0	0	0	0	11.7	37025
##INDIANA	135997	333	20171	6545	8.6	6253120
Adams, IN	127	0	12	2	10	33779
Allen, IN	8691	26	780	400	9.2	342894
Bartholomew, IN	2427	0	130	19	9.5	73200
Benton, IN	2	0	0	0	13.2	8837
Blackford, IN	228	0	18	2	7.1	13511
Boone, IN	1	0	0	0	10	51427
Brown, IN	36	0	2	2	12.1	14877
Carroll, IN	22	0	1	0	11.4	20056
Cass, IN	747	0	52	6	9.4	39680
Clark, IN	2810	4	370	78	10	101523
Clay, IN	147	0	19	2	8.1	26823
Clinton, IN	722	0	46	3	12	33800
Crawford, IN	15	0	2	0	10.4	10946
Daviess, IN	112	1	16	0	12.3	30010
Dearborn, IN	219	0	10	0	10.7	48620
Decatur, IN	288	1	12	4	7.8	25030
DeKalb, IN	438	1	22	9	7.9	41382
Delaware, IN	2820	2	229	71	6.7	116737
Dubois, IN	281	0	16	0	10.3	40826
Elkhart, IN	5326	6	510	174	11.7	193541
Fayette, IN	976	3	66	10	6.4	24581
Floyd, IN	2245	1	210	62	6.8	71850
Fountain, IN	110	0	14	1	8.6	17210
Franklin, IN	116	0	51	0	9.8	22923
Fulton, IN	8	0	0	0	10	20272
Gibson, IN	447	2	18	3	7.9	32901
Grant, IN	1887	1	128	53	7.5	69955
Greene, IN	152	0	24	1	8.8	33032
Hamilton, IN	2210	2	116	27	7.9	242100
Hancock, IN	565	0	63	13	8.1	62415
Harrison, IN	223	4	19	4	8.8	36460
Hendricks, IN	1562	4	166	16	7.9	126336
Henry, IN	2027	2	111	6	7.1	47264
Howard, IN	2644	11	192	77	6.2	84348
Huntington, IN	182	2	15	0	8.3	37975
Jackson, IN	1144	1	80	11	10.3	41933
Jasper, IN	140	0	11	0	10.4	31273
Jay, IN	242	0	5	2	10.1	21390
Jefferson, IN	299	0	28	1	10.4	32222
Jennings, IN	406	3	31	2	8.4	28067
Johnson, IN	3636	2	119	31	7.6	129336
Knox, IN	1077	0	72	20	7.3	38176
Kosciusko, IN	1312	1	73	14	13.1	75475
LaGrange, IN	156	3	8	2	12.4	36311
Lake, IN	12100	86	3152	841	9	487695
LaPorte, IN	3152	7	277	83	11.4	109145
Lawrence, IN	477	0	63	1	7.9	45962
Madison, IN	3106	3	232	76	6.5	130588
Marion, IN	31402	111	9380	3433	6.4	868883
Marshall, IN	502	0	29	7	15.6	46317
Martin, IN	31	4	12	2	8.4	10145
Miami, IN	44	0	2	2	7.6	36759
Monroe, IN	2848	2	221	62	8.1	124752
Montgomery, IN	718	0	21	1	8.5	37848
Morgan, IN	1114	0	39	9	7.8	69236
Newton, IN	94	0	22	0	10.6	14208
Noble, IN	222	0	21	0	13.5	47399
Ohio, IN	7	0	0	0	10.6	5844
Orange, IN	5	1	1	2	8.5	19545
Owen, IN	5	1	1	0	11	22364
Parke, IN	8	0	0	1	10.4	17201
Perry, IN	195	2	12	0	7.3	18937
Pike, IN	7	0	0	0	9.1	12529
Porter, IN	2718	2	275	22	11.5	155717
Posey, IN	84	0	16	1	8.6	26490
Pulaski, IN	86	0	2	2	9.6	13771
Putnam, IN	208	0	49	2	9.3	36994
Randolph, IN	221	0	12	2	8.6	26199
Ripley, IN	197	0	18	5	9.2	27282
Rush, IN	105	0	9	4	8	17647
St. Joseph, IN	8587	14	857	430	7.6	264832
Scott, IN	395	0	15	2	7.1	23596
Shelby, IN	117	0	15	0	8.2	43423
Spencer, IN	18	0	0	2	10.9	20285
Starke, IN	351	1	87	0	9.6	23390
Steuben, IN	882	0	36	1	9.7	33543
Sullivan, IN	13	0	2	0	8	21512
Switzerland, IN	7	0	1	0	12.2	9667
Tippecanoe, IN	3869	4	314	86	10.2	156397
Tipton, IN	247	1	11	2	8.5	16252
Union, IN	41	0	5	3	10.6	7116
Vanderburgh, IN	5457	9	322	182	5.6	173521
Vermillion, IN	71	0	13	0	7.9	16440
Vigo, IN	4059	1	528	63	6.6	104335
Wabash, IN	387	1	29	3	6.7	33476
Warren, IN	4	0	0	0	13.8	8619
Warrick, IN	620	0	17	2	8	55608
Washington, IN	17	0	0	1	9	27607
Wayne, IN	1489	0	164	79	7.8	68843
Wells, IN	221	0	10	3	8.6	27750
White, IN	140	0	2	0	11.5	24153
Whitley, IN	124	0	10	0	9.1	31994
##IOWA	59728	40	5413	1148	5.6	2949450
Adair, IA	20	0	4	0	8.7	7721
Adams, IA	34	0	4	0	7.5	4159
Allamakee, IA	0	0	0	0	9.6	14419
Appanoose, IA	345	0	30	3	4.1	13315
Audubon, IA	23	0	2	0	11.7	6251
Benton, IA	85	0	3	0	6.6	26643
Black Hawk, IA	3095	1	235	85	3.8	126235
Boone, IA	336	0	22	1	5	26311
Bremer, IA	145	0	5	0	6	23394
Buchanan, IA	202	0	27	1	6.3	20760
Buena Vista, IA	312	0	14	2	9.6	19713
Butler, IA	29	0	4	0	9.2	14712
Calhoun, IA	71	0	8	1	7.9	10247
Carroll, IA	125	0	11	1	6.1	20911
Cass, IA	177	0	18	0	5.3	13918
Cedar, IA	91	0	9	0	6.2	17933
Cerro Gordo, IA	1334	0	73	12	4.5	44321
Cherokee, IA	139	0	6	0	9.6	12021
Chickasaw, IA	20	0	5	0	7.4	12268
Clarke, IA	203	1	13	1	6.7	9076
Clay, IA	301	0	21	0	5.4	16784
Clayton, IA	44	0	7	0	10.1	17853
Clinton, IA	1343	3	76	19	3.9	49299
Crawford, IA	86	0	8	0	8.6	16591
Dallas, IA	697	0	49	4	7.6	51779
Davis, IA	30	0	1	0	14.9	8507
Decatur, IA	29	0	3	0	7.9	8460
Delaware, IA	66	0	10	0	8	17619
Des Moines, IA	1046	2	78	19	3.9	40553
Dickinson, IA	138	0	3	0	7.1	16608
Dubuque, IA	1488	1	106	10	5	90926
Emmet, IA	94	0	15	0	6.8	10468
Fayette, IA	107	1	11	2	5.9	20939
Floyd, IA	115	2	5	0	5.6	16309
Franklin, IA	26	0	6	0	9	10664
Fremont, IA	0	0	0	0	7.5	7553
Greene, IA	89	0	2	0	6.2	9778
Grundy, IA	39	0	5	0	10	12232
Guthrie, IA	43	0	4	0	11	11201
Hamilton, IA	223	0	30	1	5.5	15914
Hancock, IA	73	0	7	0	7.6	11626
Hardin, IA	230	2	25	1	6.9	17768
Harrison, IA	125	0	21	1	6	15520
Henry, IA	219	0	24	1	4.9	20166
Howard, IA	101	0	10	0	5.6	9620
Humboldt, IA	50	0	9	0	6.7	9801
Ida, IA	38	0	2	0	8.2	7169
Iowa, IA	94	0	8	0	8.5	15911
Jackson, IA	128	0	11	1	5.6	20035
Jasper, IA	466	0	40	2	5	37011
Jefferson, IA	253	0	22	3	6.4	15553
Johnson, IA	2109	1	111	44	4.7	121191
Jones, IA	124	0	14	0	6.7	20303
Keokuk, IA	24	0	1	0	9.2	10893
Kossuth, IA	52	0	11	1	6.8	15956
Lee, IA	867	0	68	5	4.5	36109
Linn, IA	5629	1	364	124	4.4	200114
Louisa, IA	73	0	15	0	9.9	11775
Lucas, IA	199	1	19	0	4.3	9588
Lyon, IA	35	0	4	0	9.8	11449
Madison, IA	106	0	9	0	6.2	14864
Mahaska, IA	338	0	29	2	4.2	22220
Marion, IA	218	0	13	1	5.2	32310
Marshall, IA	906	1	82	4	5.1	39020
Mills, IA	173	1	33	1	6.3	14846
Mitchell, IA	49	0	3	0	7.8	10784
Monona, IA	0	0	0	0	6	9344
Monroe, IA	65	0	8	0	5.5	7728
Montgomery, IA	165	0	11	2	5.3	11177
Muscatine, IA	596	3	38	2	5	41952
O'Brien, IA	94	0	8	0	6.7	14257
Osceola, IA	76	0	4	0	7.7	6621
Page, IA	264	0	40	0	4.5	16002
Palo Alto, IA	42	0	15	0	6.5	9569
Plymouth, IA	273	0	14	2	6.7	24545
Pocahontas, IA	19	0	2	0	8.6	7793
Polk, IA	14425	7	1458	328	4.4	401993
Pottawattamie, IA	3949	0	737	83	5	88960
Poweshiek, IA	245	0	45	0	6.1	18625
Ringgold, IA	5	0	4	0	10.1	5191
Sac, IA	36	0	1	0	10.1	10528
Scott, IA	6181	8	479	283	4.5	160073
Shelby, IA	16	0	5	0	6.7	12408
Sioux, IA	114	0	7	0	9.5	31905
Story, IA	1524	0	67	18	6.1	81757
Tama, IA	89	0	18	0	7.9	17897
Taylor, IA	14	0	0	0	9.2	6522
Union, IA	87	0	7	1	4.7	11943
Van Buren, IA	43	0	5	0	8.1	7625
Wapello, IA	919	0	66	6	5.2	35771
Warren, IA	604	0	37	2	5	42923
Washington, IA	64	0	15	0	8.2	21037
Wayne, IA	40	0	3	0	8.1	6422
Webster, IA	1401	2	161	16	4.4	38574
Winnebago, IA	8	0	0	0	4.9	11167
Winneshiek, IA	63	0	9	0	6.8	20871
Woodbury, IA	2717	2	241	52	5.4	101211
Worth, IA	71	0	14	0	8.9	7715
Wright, IA	50	0	6	0	7.6	13377
##KANSAS	71215	98	8906	1728	6.9	2741771
Allen, KS	262	1	19	1	6.2	13625
Anderson, KS	111	1	16	1	7.7	7949
Atchison, KS	340	0	34	3	5.6	16567
Barber, KS	17	0	3	0	11.4	4829
Barton, KS	166	0	2	0	8.9	27880
Bourbon, KS	413	0	29	7	6.1	14845
Brown, KS	154	1	18	1	6.7	10093
Butler, KS	1348	0	74	5	7.6	61575
Chase, KS	7	0	3	0	13.4	2974
Chautauqua, KS	31	1	3	0	8.9	4003
Cherokee, KS	395	0	63	0	5	21389
Cheyenne, KS	20	0	1	0	22.2	2840
Clark, KS	8	0	0	0	15.5	2190
Clay, KS	115	0	7	1	8.1	8547
Cloud, KS	141	0	12	0	6.4	9580
Coffey, KS	73	0	7	0	6.5	8522
Comanche, KS	4	0	0	0	16.5	1923
Cowley, KS	912	3	69	7	6.9	34459
Crawford, KS	1262	0	80	10	5.4	38493
Decatur, KS	20	0	2	0	16.2	3065
Dickinson, KS	331	0	19	0	7.6	18871
Doniphan, KS	67	0	11	0	8.9	7721
Douglas, KS	3278	2	182	41	6.1	111519
Edwards, KS	11	0	1	0	16.8	3211
Elk, KS	47	0	5	0	10.9	3074
Ellis, KS	583	1	35	2	6.4	27080
Ellsworth, KS	63	0	6	0	7.4	6252
Finney, KS	1165	1	64	8	11	40518
Ford, KS	1199	1	68	18	11.7	32706
Franklin, KS	729	0	43	9	6	25991
Geary, KS	719	1	28	13	8.1	28312
Gove, KS	21	0	2	0	18.4	2723
Graham, KS	19	0	2	0	14.3	2661
Grant, KS	77	0	5	0	12.2	7468
Gray, KS	15	0	3	0	18.4	5905
Greeley, KS	1	0	1	0	21.3	1317
Greenwood, KS	37	1	6	1	7.6	7212
Hamilton, KS	17	0	0	0	21	2561
Harper, KS	48	0	5	1	9.5	5970
Harvey, KS	653	0	37	7	7.5	33397
Haskell, KS	21	0	2	0	20.7	4139
Hodgeman, KS	51	0	2	0	14.8	2023
Jackson, KS	309	0	20	0	7.8	13363
Jefferson, KS	302	0	36	2	9.5	18625
Jewell, KS	0	0	0	0	13	3260
Johnson, KS	11741	8	1197	214	5.3	505578
Kearny, KS	70	0	3	0	19.8	4303
Kingman, KS	83	0	9	0	8.8	8063
Kiowa, KS	11	0	3	0	12.9	2984
Labette, KS	619	0	31	10	5.4	21930
Lane, KS	19	0	0	0	14.4	1828
Leavenworth, KS	1386	0	130	54	5.8	71762
Lincoln, KS	33	0	2	0	15	3365
Linn, KS	93	0	23	1	8.9	9833
Logan, KS	34	0	1	0	13.6	2757
Lyon, KS	1340	1	45	9	8.9	35715
McPherson, KS	287	0	25	4	6.3	29228
Marion, KS	138	0	9	0	10.4	12623
Marshall, KS	50	0	4	0	8.4	10265
Meade, KS	8	0	5	0	17.2	4518
Miami, KS	444	1	43	1	5.9	29895
Mitchell, KS	22	0	6	0	10.6	6384
Montgomery, KS	912	2	55	17	5.4	34212
Morris, KS	51	0	7	0	10.6	5948
Morton, KS	39	0	6	0	15.7	3176
Nemaha, KS	58	0	6	0	12.6	10233
Neosho, KS	284	0	33	1	6	16289
Ness, KS	0	0	2	0	12	3052
Norton, KS	19	0	1	0	9.9	5570
Osage, KS	209	1	29	1	7	16753
Osborne, KS	8	0	4	0	10.7	3982
Ottawa, KS	79	0	8	0	11	5998
Pawnee, KS	207	0	10	1	8.1	6661
Phillips, KS	14	0	1	0	8	5439
Pottawatomie, KS	303	0	19	0	9.1	18787
Pratt, KS	195	0	10	1	6.6	9407
Rawlins, KS	14	0	1	0	13.4	2601
Reno, KS	2321	1	114	17	6	63256
Republic, KS	50	0	2	1	10.9	5083
Rice, KS	130	0	15	0	9.2	10348
Riley, KS	1287	0	48	20	8.4	67507
Rooks, KS	8	0	4	0	11.3	5252
Rush, KS	19	0	6	0	12.4	3304
Russell, KS	98	0	14	0	7.2	6769
Saline, KS	2395	0	121	18	6.4	53888
Scott, KS	91	0	3	0	9.5	4629
Sedgwick, KS	13460	13	1875	509	5.6	464383
Seward, KS	853	6	61	16	11.1	22449
Shawnee, KS	8437	10	799	276	5.4	171568
Sheridan, KS	2	0	1	0	18.4	2524
Sherman, KS	113	0	8	0	8.6	6064
Smith, KS	18	1	0	0	11.7	4082
Stafford, KS	41	0	2	0	14.6	4427
Stanton, KS	6	0	0	0	20	2218
Stevens, KS	71	0	3	0	14.2	5323
Sumner, KS	425	2	26	1	6.8	24404
Thomas, KS	165	0	7	0	7.6	7554
Trego, KS	26	0	4	0	12.2	3001
Wabaunsee, KS	74	0	14	0	9.7	6793
Wallace, KS	5	0	1	0	16	1498
Washington, KS	9	0	1	0	12.7	5973
Wichita, KS	29	0	3	0	19.1	2289
Wilson, KS	143	0	12	0	6.8	9758
Woodson, KS	40	0	3	0	9.8	3475
Wyandotte, KS	6567	38	3006	418	6.4	153586
##KENTUCKY	62536	177	7979	3478	8.5	4182293
Adair, KY	52	0	6	1	9.1	17695
Allen, KY	58	0	10	0	8.1	18425
Anderson, KY	246	0	10	1	9.5	20220
Ballard, KY	46	2	8	1	12.3	8238
Barren, KY	334	0	38	8	8.5	40022
Bath, KY	22	0	5	1	8.5	11560
Bell, KY	143	0	15	2	4.2	29271
Boone, KY	2057	2	234	50	9.4	105628
Bourbon, KY	171	0	12	8	10.4	19703
Boyd, KY	1080	2	103	26	6.2	48931
Boyle, KY	375	0	23	17	8.8	28513
Bracken, KY	0	0	0	0	10.1	8614
Breathitt, KY	57	0	2	2	5.3	15729
Breckinridge, KY	24	0	16	1	12	19052
Bullitt, KY	806	0	108	18	9.3	71114
Butler, KY	5	0	2	0	10.1	13304
Caldwell, KY	159	0	14	3	8.4	12769
Calloway, KY	475	0	29	9	10.9	35477
Campbell, KY	686	3	61	8	6.9	87273
Carlisle, KY	5	0	0	0	16.7	5249
Carroll, KY	79	0	4	3	8.4	10420
Carter, KY	72	0	11	1	6.6	27306
Casey, KY	22	0	5	0	10.5	16115
Christian, KY	1553	2	106	66	9.7	78098
Clark, KY	810	0	59	16	7	34653
Clay, KY	86	0	27	3	4.9	23955
Clinton, KY	7	0	1	1	7.5	9457
Crittenden, KY	83	0	8	0	8.5	9011
Cumberland, KY	0	0	1	0	8.4	6947
Daviess, KY	1860	5	81	56	7.7	92614
Edmonson, KY	39	0	4	0	13.8	11939
Elliott, KY	0	0	0	0	7.6	7525
Estill, KY	95	0	11	1	5.7	14861
Fayette, KY	8058	15	752	581	10	278313
Fleming, KY	38	0	2	1	9.4	14483
Floyd, KY	149	0	23	1	5.8	42045
Franklin, KY	978	0	114	30	9.1	48377
Fulton, KY	185	0	14	2	5.7	7089
Gallatin, KY	24	0	4	0	14	8040
Garrard, KY	137	0	19	1	12.3	16376
Grant, KY	88	1	17	1	8.8	24421
Graves, KY	188	0	26	7	12.4	37353
Grayson, KY	175	0	24	0	11.8	25075
Green, KY	0	0	0	0	12.2	11473
Greenup, KY	124	0	13	6	7.7	36946
Hancock, KY	21	0	2	0	12.3	8540
Hardin, KY	1527	0	97	47	9.4	96842
Harlan, KY	212	0	18	9	4.9	31076
Harrison, KY	251	0	23	3	8.9	18208
Hart, KY	50	0	9	2	7.5	18108
Henderson, KY	21	0	5	0	8	45107
Henry, KY	17	0	3	3	14.7	15621
Hickman, KY	6	1	1	0	12.5	5019
Hopkins, KY	170	0	24	1	8.4	46190
Jackson, KY	8	0	3	0	7.7	13493
Jefferson, KY	18843	56	3397	1930	6.5	701057
Jessamine, KY	193	0	18	2	8.3	43147
Johnson, KY	150	0	32	4	6.6	23751
Kenton, KY	1584	1	157	48	7.3	153420
Knott, KY	46	0	4	0	7.2	17429
Knox, KY	131	0	18	1	4.8	32054
Larue, KY	30	1	9	3	12.2	13482
Laurel, KY	661	1	122	8	7.1	56007
Lawrence, KY	20	0	3	0	6.8	16120
Lee, KY	4	0	0	0	6.2	7513
Leslie, KY	1	0	0	0	7.3	11866
Letcher, KY	53	0	4	2	7.1	24177
Lewis, KY	50	0	9	1	6.7	13761
Lincoln, KY	69	0	9	0	9.5	24932
Livingston, KY	101	0	9	2	13.1	9689
Logan, KY	319	1	20	9	9.9	26863
Lyon, KY	30	0	3	0	16.1	8286
McCracken, KY	1401	0	144	44	7.4	64404
McCreary, KY	41	0	8	0	5.2	18814
McLean, KY	13	0	2	0	14.7	9789
Madison, KY	1408	0	96	24	7.9	79122
Magoffin, KY	2	0	0	0	6.5	13175
Marion, KY	15	0	4	2	8	19029
Marshall, KY	208	2	28	3	10.6	30705
Martin, KY	36	0	12	2	6.8	13560
Mason, KY	369	0	31	7	7.1	16868
Meade, KY	76	0	17	2	11.6	27908
Menifee, KY	12	0	0	0	8.4	6731
Mercer, KY	110	1	13	8	11.6	21567
Metcalfe, KY	25	0	10	0	9	10077
Monroe, KY	7	0	1	0	11.1	11772
Montgomery, KY	537	0	48	4	7.7	24202
Morgan, KY	2	0	4	0	7.3	14264
Muhlenberg, KY	126	0	17	2	8	31458
Nelson, KY	263	0	26	7	11.8	40859
Nicholas, KY	17	0	3	0	10.9	6968
Ohio, KY	108	0	13	0	8.4	23382
Oldham, KY	273	0	18	4	13.1	53357
Owen, KY	21	0	5	1	13.2	11160
Owsley, KY	16	0	3	1	6	4714
Pendleton, KY	81	0	10	1	13.9	14929
Perry, KY	319	1	17	10	5.5	29111
Pike, KY	408	0	41	7	7.4	65704
Powell, KY	178	0	10	4	10.6	13619
Pulaski, KY	1042	2	95	24	6.8	58834
Robertson, KY	0	0	0	0	11.4	2219
Rockcastle, KY	67	0	20	3	6.9	16550
Rowan, KY	117	0	8	1	9.2	22148
Russell, KY	48	0	1	0	9.3	16865
Scott, KY	947	0	89	9	8.4	39318
Shelby, KY	503	0	68	26	15.5	38017
Simpson, KY	290	0	24	9	6.7	16897
Spencer, KY	22	0	4	1	15.7	15313
Taylor, KY	362	0	26	13	6.3	23767
Todd, KY	20	0	2	4	15.1	11850
Trigg, KY	128	0	8	5	13.4	13088
Trimble, KY	8	0	2	0	11.7	8807
Union, KY	192	0	11	9	10.6	15419
Warren, KY	2649	3	181	90	9.7	100057
Washington, KY	1	0	0	0	13.4	11258
Wayne, KY	24	2	9	0	6.3	20435
Webster, KY	15	0	5	1	13.4	14009
Whitley, KY	285	0	38	4	5.1	37688
Wolfe, KY	24	0	5	0	7.5	7039
Woodford, KY	245	0	22	2	14.4	24030
##LOUISIANA	98719	400	12838	4844	11.5	4497691
Acadia, LA	731	2	67	16	9.9	58750
Allen, LA	42	0	2	2	9.5	24864
Ascension, LA	2300	5	345	36	13.3	89382
Assumption, LA	317	0	30	3	10.5	22864
Avoyelles, LA	19	0	1	0	9	41313
Beauregard, LA	352	0	35	3	15	34225
Bienville, LA	87	0	5	0	12.6	14979
Bossier, LA	2886	0	331	97	13.4	105152
Caddo, LA	9703	40	1139	650	11.9	250339
Calcasieu, LA	4198	10	489	219	10	184399
Caldwell, LA	91	0	7	2	14	10382
Cameron, LA	175	0	14	1	20.2	9576
Catahoula, LA	66	0	5	0	14.8	10252
Claiborne, LA	119	0	8	10	10.8	16291
Concordia, LA	326	2	19	4	8.5	18913
De Soto, LA	336	1	34	6	12.1	25953
East Baton Rouge, LA	17601	62	2091	1263	10	411859
East Carroll, LA	60	2	5	4	5.7	8494
East Feliciana, LA	93	0	8	4	13.7	20524
Evangeline, LA	405	0	38	3	8.1	35189
Franklin, LA	163	1	6	1	8.3	20135
Grant, LA	141	0	27	0	16.4	19282
Iberia, LA	90	0	8	1	9.7	73599
Iberville, LA	729	3	33	13	8.7	32180
Jackson, LA	68	0	2	1	13.3	15053
Jefferson, LA	9846	33	2026	620	10.6	451652
Jefferson Davis, LA	695	5	48	11	12.2	30896
Lafayette, LA	5865	13	607	180	12.8	197342
Lafourche, LA	1853	2	90	38	10.3	91362
La Salle, LA	36	0	4	0	12.7	13887
Lincoln, LA	1220	0	77	22	11.6	42655
Livingston, LA	1370	6	150	42	14.2	107415
Madison, LA	91	0	12	3	6.4	12086
Morehouse, LA	258	0	6	5	8.4	29418
Natchitoches, LA	300	2	42	6	10.2	38787
Orleans, LA	6190	134	2523	758	13.9	455188
Ouachita, LA	5996	7	273	105	9.1	148438
Plaquemines, LA	257	1	24	6	13.5	28549
Pointe Coupee, LA	221	2	3	2	13.5	21796
Rapides, LA	4097	10	427	159	9.6	127846
Red River, LA	92	1	9	5	11.8	9205
Richland, LA	108	0	16	2	9.6	20293
Sabine, LA	231	1	20	3	16.7	23402
St. Bernard, LA	752	0	105	31	26.8	64951
St. Charles, LA	874	5	152	24	12.1	50116
St. Helena, LA	94	1	13	1	14.8	10171
St. James, LA	459	1	34	10	10.4	20740
St. John the Baptist, LA	911	5	124	45	10.6	45597
St. Landry, LA	1095	3	124	15	8	88593
St. Martin, LA	2	0	0	1	10.2	50010
St. Mary, LA	1127	3	74	49	9.1	50871
St. Tammany, LA	3814	11	419	87	15.2	217407
